target_angle,angle,target_speed,speed,I4,I5
0.000000,7310.000000,-40.000000,-44.000000,-3529.797119,0.000000
0.000000,7235.000000,-36.000000,-37.000000,-3029.197021,0.000000
0.000000,7176.000000,-32.000000,-34.000000,-2964.396973,0.000000
0.000000,7120.000000,-28.000000,-29.000000,-2683.197021,0.000000
0.000000,7070.000000,-24.000000,-29.000000,-2460.997070,0.000000
0.000000,7025.000000,-20.000000,-24.000000,-2092.597168,0.000000
0.000000,6987.000000,-16.000000,-20.000000,-1732.597168,0.000000
0.000000,6960.000000,-12.000000,-13.000000,-1468.197144,0.000000
0.000000,6938.000000,-8.000000,-12.000000,-1198.197144,0.000000
0.000000,6920.000000,-4.000000,-9.000000,-832.597168,0.000000
0.000000,6909.000000,-1.000000,-5.000000,-472.597168,0.000000
0.000000,6907.000000,2.000000,0.000000,-255.997162,0.000000
0.000000,6908.000000,6.000000,0.000000,16.802826,0.000000
0.000000,6912.000000,10.000000,4.000000,478.002838,0.000000
0.000000,6923.000000,14.000000,8.000000,1023.602783,0.000000
0.000000,6942.000000,18.000000,13.000000,1468.002808,0.000000
0.000000,6973.000000,22.000000,19.000000,1822.402832,0.000000
0.000000,7010.000000,26.000000,23.000000,2134.602783,0.000000
0.000000,7054.000000,30.000000,26.000000,2449.602783,0.000000
0.000000,7104.000000,34.000000,31.000000,2860.202881,0.000000
0.000000,7172.000000,38.000000,39.000000,2930.602783,0.000000
0.000000,7239.000000,41.000000,40.000000,3211.802734,0.000000
0.000000,7304.000000,45.000000,35.000000,3529.602783,0.000000
0.000000,7380.000000,49.000000,48.000000,4131.402832,0.000000
0.000000,7471.000000,53.000000,54.000000,4381.802734,0.000000
0.000000,7564.000000,57.000000,51.000000,4508.402832,0.000000
0.000000,7665.000000,61.000000,55.000000,4691.202637,0.000000
0.000000,7767.000000,64.000000,57.000000,5158.002441,0.000000
0.000000,7881.000000,68.000000,67.000000,5655.802246,0.000000
0.000000,8007.000000,72.000000,71.000000,5720.602051,0.000000
0.000000,8132.000000,76.000000,71.000000,6097.401855,0.000000
0.000000,71.000000,79.000000,71.000000,6314.001953,0.000000
0.000000,213.000000,83.000000,78.000000,6443.401855,0.000000
0.000000,353.000000,87.000000,79.000000,6721.801758,0.000000
0.000000,497.000000,91.000000,83.000000,7278.601563,0.000000
0.000000,656.000000,94.000000,95.000000,7770.801758,0.000000
0.000000,822.000000,98.000000,98.000000,8122.401855,0.000000
0.000000,999.000000,101.000000,99.000000,8243.402344,0.000000
0.000000,1180.000000,105.000000,100.000000,8282.802734,0.000000
0.000000,1365.000000,109.000000,108.000000,8710.203125,0.000000
0.000000,1554.000000,112.000000,108.000000,9258.603516,0.000000
0.000000,1754.000000,116.000000,116.000000,9559.603516,0.000000
0.000000,1971.000000,119.000000,120.000000,9396.603516,0.000000
0.000000,2180.000000,122.000000,119.000000,9691.803711,0.000000
0.000000,2391.000000,126.000000,120.000000,10153.003906,0.000000
0.000000,2618.000000,129.000000,127.000000,10364.003906,0.000000
0.000000,2851.000000,133.000000,121.000000,9872.003906,0.000000
0.000000,3080.000000,136.000000,129.000000,10425.803711,0.000000
0.000000,3310.000000,139.000000,127.000000,10681.803711,0.000000
0.000000,3561.000000,142.000000,140.000000,11047.403320,0.000000
0.000000,3817.000000,146.000000,145.000000,11359.603516,0.000000
0.000000,4071.000000,149.000000,142.000000,11674.603516,0.000000
0.000000,4330.000000,152.000000,154.000000,12180.803711,0.000000
0.000000,4593.000000,155.000000,154.000000,12723.603516,0.000000
0.000000,4867.000000,158.000000,153.000000,12737.803711,0.000000
0.000000,5144.000000,161.000000,153.000000,13165.204102,0.000000
0.000000,5429.000000,164.000000,166.000000,13379.003906,0.000000
0.000000,5732.000000,167.000000,169.000000,13030.404297,0.000000
0.000000,6027.000000,170.000000,170.000000,13480.204102,0.000000
0.000000,6340.000000,173.000000,176.000000,13646.204102,0.000000
0.000000,6644.000000,175.000000,166.000000,13300.404297,0.000000
0.000000,6943.000000,178.000000,167.000000,13989.204102,0.000000
0.000000,7266.000000,181.000000,187.000000,14332.404297,0.000000
0.000000,7591.000000,184.000000,186.000000,14692.404297,0.000000
0.000000,7918.000000,186.000000,183.000000,14670.003906,0.000000
0.000000,53.000000,189.000000,181.000000,14622.204102,0.000000
0.000000,381.000000,191.000000,183.000000,14959.604492,0.000000
0.000000,709.000000,194.000000,192.000000,15609.204102,0.000000
0.000000,1055.000000,196.000000,198.000000,16000.204102,0.000000
0.000000,1406.000000,199.000000,197.000000,15783.803711,0.000000
0.000000,1755.000000,201.000000,195.000000,16129.603516,0.000000
0.000000,2118.000000,203.000000,197.000000,15871.003906,0.000000
0.000000,2471.000000,206.000000,199.000000,16315.204102,0.000000
0.000000,2848.000000,208.000000,213.000000,16433.404297,0.000000
0.000000,3221.000000,210.000000,205.000000,16377.204102,0.000000
0.000000,3600.000000,212.000000,217.000000,16762.404297,0.000000
0.000000,3984.000000,214.000000,216.000000,16787.804688,0.000000
0.000000,4357.000000,216.000000,216.000000,17263.003906,0.000000
0.000000,4738.000000,218.000000,220.000000,17856.404297,0.000000
0.000000,5119.000000,220.000000,214.000000,17915.603516,0.000000
0.000000,5518.000000,222.000000,234.000000,18149.003906,0.000000
0.000000,5923.000000,224.000000,222.000000,17465.804688,0.000000
0.000000,6329.000000,225.000000,224.000000,17648.404297,0.000000
0.000000,6721.000000,227.000000,214.000000,17018.603516,0.000000
0.000000,7107.000000,228.000000,221.000000,17676.404297,0.000000
0.000000,7510.000000,230.000000,224.000000,17496.603516,0.000000
0.000000,7904.000000,232.000000,222.000000,17791.802734,0.000000
0.000000,115.000000,233.000000,223.000000,17918.402344,0.000000
0.000000,510.000000,234.000000,220.000000,18196.802734,0.000000
0.000000,912.000000,236.000000,228.000000,18897.001953,0.000000
0.000000,1334.000000,237.000000,231.000000,18807.201172,0.000000
0.000000,1746.000000,238.000000,231.000000,19144.601563,0.000000
0.000000,2179.000000,239.000000,235.000000,18647.001953,0.000000
0.000000,2596.000000,240.000000,239.000000,19057.402344,0.000000
0.000000,3034.000000,241.000000,240.000000,18222.402344,0.000000
0.000000,3456.000000,242.000000,237.000000,18843.601563,0.000000
0.000000,3883.000000,243.000000,247.000000,18571.001953,0.000000
0.000000,4303.000000,244.000000,233.000000,18824.001953,0.000000
0.000000,4715.000000,245.000000,242.000000,19479.201172,0.000000
0.000000,5134.000000,246.000000,233.000000,19583.400391,0.000000
0.000000,5573.000000,246.000000,261.000000,19909.599609,0.000000
0.000000,6019.000000,247.000000,246.000000,19364.199219,0.000000
0.000000,6471.000000,247.000000,264.000000,19442.798828,0.000000
0.000000,6906.000000,248.000000,246.000000,19535.599609,0.000000
0.000000,7354.000000,248.000000,259.000000,19912.400391,0.000000
0.000000,7802.000000,249.000000,248.000000,19746.599609,0.000000
0.000000,55.000000,249.000000,246.000000,19755.000000,0.000000
0.000000,491.000000,249.000000,241.000000,19659.400391,0.000000
0.000000,924.000000,249.000000,247.000000,20238.599609,0.000000
0.000000,1371.000000,249.000000,247.000000,19822.599609,0.000000
0.000000,1813.000000,249.000000,245.000000,20084.000000,0.000000
0.000000,2257.000000,249.000000,245.000000,19400.800781,0.000000
0.000000,2705.000000,249.000000,257.000000,19822.400391,0.000000
0.000000,3154.000000,249.000000,252.000000,19417.599609,0.000000
0.000000,3603.000000,249.000000,261.000000,19726.798828,0.000000
0.000000,4053.000000,249.000000,249.000000,19518.798828,0.000000
0.000000,4480.000000,248.000000,239.000000,19912.398438,0.000000
0.000000,4919.000000,248.000000,246.000000,20224.597656,0.000000
0.000000,5354.000000,248.000000,246.000000,20491.796875,0.000000
0.000000,5815.000000,247.000000,252.000000,19757.996094,0.000000
0.000000,6262.000000,247.000000,252.000000,19704.396484,0.000000
0.000000,6707.000000,246.000000,238.000000,18658.396484,0.000000
